run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,profesores_norm,cupos_disponibles,cupos_totales,orden_lectura
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(4) Mesa: Bienestar universitario,Andres Sicard Currea,andres sicard currea,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(1) Mesa: Democracia y autonomía universitaria,Andrea Carolina Jimenez Martin,andrea carolina jimenez martin,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(2) Mesa: Modelo de financiación,Paula Katherine Triviño Gaviria,paula katherine trivino gaviria,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(3) Mesa: Política de género,Laura Espinosa Botero,laura espinosa botero,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(6) Mesa: Relación I.E.S - Sociedad,Francisco Javier Toloza Fuentes,francisco javier toloza fuentes,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:53:59-05:00,2029352,CLASE TALLER,(5) Mesa: Seguridad y derechos humanos,Erika Constanza Sabogal Muñoz,erika constanza sabogal munoz,0,NA,1
gh-31624873304-0812T1753,2026-08-12T12:54:00-05:00,2024279,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Eduard Alexis Larrañaga Rubio,eduard alexis larranaga rubio,50,NA,2
gh-31624873304-0812T1753,2026-08-12T12:54:01-05:00,2022616,CLASE TEORICA,(1) Alemán Electivo II,Diego Gonzalez Gonzalez,diego gonzalez gonzalez,25,NA,3
gh-31624873304-0812T1753,2026-08-12T12:54:02-05:00,2022617,CLASE TEORICA,(1) Alemán Electivo III,Daniel Uriel Ventura Caceres,daniel uriel ventura caceres,25,NA,4
gh-31624873304-0812T1753,2026-08-12T12:54:06-05:00,2021514,CLASE TEORICA,(1) Grupo 1 - Clase Remota - Sede Bogotá,Omar Joaquin Agudelo Suarez,omar joaquin agudelo suarez,80,NA,6
gh-31624873304-0812T1753,2026-08-12T12:54:11-05:00,2027248,CLASE TEORICA,(1) Grupo 1 - Clase presencial,Miguel Angel Herrera Zgaib,miguel angel herrera zgaib,50,NA,10
gh-31624873304-0812T1753,2026-08-12T12:54:12-05:00,2025406,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Joanita Jimena Barbosa Gomez,joanita jimena barbosa gomez,0,NA,11
