run_id,ts_inicio,ts_fin,planes,shard,n_esperadas,n_leidas,n_fallidas,codigos_fallidos,completo,n_paginas,intentos_listado
gh-31433936634-0810T2130,2026-08-10T16:30:00-05:00,2026-08-10T16:31:59-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0810T2200,2026-08-10T17:00:01-05:00,2026-08-10T17:01:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0810T2230,2026-08-10T17:30:01-05:00,2026-08-10T17:31:44-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0810T2300,2026-08-10T18:00:00-05:00,2026-08-10T18:01:49-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0810T2330,2026-08-10T18:30:01-05:00,2026-08-10T18:31:46-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0811T0000,2026-08-10T19:00:00-05:00,2026-08-10T19:01:49-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0811T0030,2026-08-10T19:30:00-05:00,2026-08-10T19:31:44-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0811T0100,2026-08-10T20:00:01-05:00,2026-08-10T20:01:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0811T0130,2026-08-10T20:30:00-05:00,2026-08-10T20:31:44-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31433936634-0811T0200,2026-08-10T21:00:01-05:00,2026-08-10T21:01:46-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0230,2026-08-10T21:30:00-05:00,2026-08-10T21:32:06-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0300,2026-08-10T22:00:01-05:00,2026-08-10T22:01:47-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0330,2026-08-10T22:30:01-05:00,2026-08-10T22:31:53-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0400,2026-08-10T23:00:00-05:00,2026-08-10T23:01:50-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0430,2026-08-10T23:30:01-05:00,2026-08-10T23:31:42-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0500,2026-08-11T00:00:00-05:00,2026-08-11T00:01:47-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31451116452-0811T0530,2026-08-11T00:30:00-05:00,2026-08-11T00:31:52-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0600,2026-08-11T01:00:01-05:00,2026-08-11T01:02:19-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0630,2026-08-11T01:30:00-05:00,2026-08-11T01:31:43-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0700,2026-08-11T02:00:01-05:00,2026-08-11T02:01:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0730,2026-08-11T02:30:01-05:00,2026-08-11T02:31:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0800,2026-08-11T03:00:00-05:00,2026-08-11T03:01:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0830,2026-08-11T03:30:01-05:00,2026-08-11T03:31:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0900,2026-08-11T04:00:01-05:00,2026-08-11T04:01:50-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T0930,2026-08-11T04:30:01-05:00,2026-08-11T04:31:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T1000,2026-08-11T05:00:00-05:00,2026-08-11T05:01:47-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31462495791-0811T1030,2026-08-11T05:30:00-05:00,2026-08-11T05:31:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1100,2026-08-11T06:00:01-05:00,2026-08-11T06:02:16-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1130,2026-08-11T06:30:01-05:00,2026-08-11T06:31:49-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1200,2026-08-11T07:00:00-05:00,2026-08-11T07:01:47-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1230,2026-08-11T07:30:01-05:00,2026-08-11T07:31:49-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1300,2026-08-11T08:00:01-05:00,2026-08-11T08:01:45-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1330,2026-08-11T08:30:00-05:00,2026-08-11T08:31:54-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1400,2026-08-11T09:00:01-05:00,2026-08-11T09:01:57-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1430,2026-08-11T09:30:01-05:00,2026-08-11T09:31:54-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1500,2026-08-11T10:00:00-05:00,2026-08-11T10:01:44-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31482616018-0811T1530,2026-08-11T10:30:00-05:00,2026-08-11T10:31:43-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1600,2026-08-11T11:00:01-05:00,2026-08-11T11:02:43-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1630,2026-08-11T11:30:01-05:00,2026-08-11T11:31:49-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1700,2026-08-11T12:00:00-05:00,2026-08-11T12:01:46-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1730,2026-08-11T12:30:01-05:00,2026-08-11T12:31:53-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1800,2026-08-11T13:00:00-05:00,2026-08-11T13:01:52-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1830,2026-08-11T13:30:00-05:00,2026-08-11T13:31:48-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1900,2026-08-11T14:00:01-05:00,2026-08-11T14:01:54-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T1930,2026-08-11T14:30:00-05:00,2026-08-11T14:31:54-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T2000,2026-08-11T15:00:00-05:00,2026-08-11T15:01:54-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31507518995-0811T2030,2026-08-11T15:30:00-05:00,2026-08-11T15:31:47-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31533405228-0811T2100,2026-08-11T16:00:01-05:00,2026-08-11T16:01:56-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31533405228-0811T2130,2026-08-11T16:30:00-05:00,2026-08-11T16:31:50-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31533405228-0811T2200,2026-08-11T17:00:01-05:00,2026-08-11T17:01:50-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31533405228-0811T2230,2026-08-11T17:30:01-05:00,2026-08-11T17:31:51-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
gh-31533405228-0811T2300,2026-08-11T18:00:00-05:00,2026-08-11T18:01:50-05:00,2542 INGENIERÍA CIVIL,1/1,65,65,0,,1,1,1
