codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,duracion,fecha,horario_resumido,salones
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(2) Grupo 2,CLASE TEORICA,OLGA INES GOMEZ VILLEGAS,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 11:00-13:00; MIÉRCOLES 11:00-13:00; JUEVES 11:00-13:00; VIERNES 11:00-13:00,454-208 (454 - Luis Carlos Sarmiento Angulo); 454-201 (454 - Luis Carlos Sarmiento Angulo); 401-203 (401 - Julio Garavito Armero); 453-103 (453 - Guillermina Uribe Bone)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(3) Grupo 3,CLASE TEORICA,Laura Alejandra Guerrero Calderon,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 11:00-13:00; MIÉRCOLES 11:00-13:00; JUEVES 11:00-13:00; VIERNES 11:00-13:00,454-202 (454 - Luis Carlos Sarmiento Angulo); 454-301 (454 - Luis Carlos Sarmiento Angulo); 471-222B (471 - José Félix Patiño Restrepo); 453-307 (453 - Guillermina Uribe Bone)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(4) Grupo 4,CLASE TEORICA,Gustavo Garzon Gomez,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 14:00-16:00; MARTES 14:00-16:00; MIÉRCOLES 14:00-16:00; JUEVES 14:00-16:00,401-203 (401 - Julio Garavito Armero); 453-107 (453 - Guillermina Uribe Bone); 311-201 (311 - Lauchlin Currie); 401-105 (401 - Julio Garavito Armero)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(5) Grupo 5,CLASE TEORICA,AIDA PATRICIA ZAMBRANO MONSALVE,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 14:00-16:00; MARTES 14:00-16:00; MIÉRCOLES 14:00-16:00; JUEVES 14:00-16:00,401-306 (401 - Julio Garavito Armero); 401-305 (401 - Julio Garavito Armero); 401-207 (401 - Julio Garavito Armero); 401-203 (401 - Julio Garavito Armero)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(6) Grupo 6,CLASE TEORICA,Juan Diego Galvez Diaz,0,DIURNO,Semestral,27/08/2026 - 17/12/2026,LUNES 16:00-18:00; MARTES 16:00-18:00; MIÉRCOLES 16:00-18:00; JUEVES 16:00-18:00,453-107 (453 - Guillermina Uribe Bone); 311-102 (311 - Lauchlin Currie); 453-313 (453 - Guillermina Uribe Bone)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(7) Grupo 7,CLASE TEORICA,Laura Alejandra Guerrero Calderon,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 16:00-18:00; MARTES 16:00-18:00; MIÉRCOLES 16:00-18:00; JUEVES 16:00-18:00,453-315 (453 - Guillermina Uribe Bone); 401-207 (401 - Julio Garavito Armero); 471-116 (471 - José Félix Patiño Restrepo); 401-105 (401 - Julio Garavito Armero)
2026055,Inglés Intensivo II,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(8) Grupo 8,CLASE TEORICA,Juan Diego Galvez Diaz,0,DIURNO,Semestral,31/08/2026 - 12/12/2026,LUNES 18:00-20:00; MARTES 18:00-20:00; MIÉRCOLES 18:00-20:00; JUEVES 18:00-20:00,401-202 (401 - Julio Garavito Armero); 401-203 (401 - Julio Garavito Armero); 453-109 (453 - Guillermina Uribe Bone); 401-206 (401 - Julio Garavito Armero)
2026056,Inglés Intensivo III,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(1) Grupo 1,CLASE TEORICA,MARTIN FELIPE SUAREZ GUARIN,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 07:00-09:00; MIÉRCOLES 07:00-09:00; JUEVES 07:00-09:00; VIERNES 07:00-09:00,454-307 (454 - Luis Carlos Sarmiento Angulo); 454-208 (454 - Luis Carlos Sarmiento Angulo); 453-103 (453 - Guillermina Uribe Bone)
2026056,Inglés Intensivo III,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(3) Grupo 3,CLASE TEORICA,MARTIN FELIPE SUAREZ GUARIN,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 11:00-13:00; MIÉRCOLES 11:00-13:00; JUEVES 11:00-13:00; VIERNES 11:00-13:00,471-112 (471 - José Félix Patiño Restrepo); 454-204 (454 - Luis Carlos Sarmiento Angulo); 500-303 (500 - Ciencias Agrarias); 224-216 (224 - Manuel Ancizar)
2026056,Inglés Intensivo III,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(4) Grupo 4,CLASE TEORICA,Camilo Andres Saldaña Diaz,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 14:00-16:00; MARTES 14:00-16:00; MIÉRCOLES 14:00-16:00; JUEVES 14:00-16:00,453-107 (453 - Guillermina Uribe Bone); 453-311 (453 - Guillermina Uribe Bone); 453-315 (453 - Guillermina Uribe Bone)
2026056,Inglés Intensivo III,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(5) Grupo 5,CLASE TEORICA,Camilo Andres Saldaña Diaz,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 16:00-18:00; MARTES 16:00-18:00; MIÉRCOLES 16:00-18:00; JUEVES 16:00-18:00,453-115 (453 - Guillermina Uribe Bone); 454-201 (454 - Luis Carlos Sarmiento Angulo); 453-411 (453 - Guillermina Uribe Bone)
2026056,Inglés Intensivo III,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(6) Grupo 6,CLASE TEORICA,Lina Beatríz Barrero Molina,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 18:00-20:00; MARTES 18:00-20:00; MIÉRCOLES 18:00-20:00; JUEVES 18:00-20:00,453-315 (453 - Guillermina Uribe Bone); 453-111 (453 - Guillermina Uribe Bone); 453-103 (453 - Guillermina Uribe Bone); 453-307 (453 - Guillermina Uribe Bone)
2026057,Intensive english I - Internationalization,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(1) Grupo 1,CLASE TEORICA,Andres Felipe Mican Castiblanco,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 07:00-09:00; MARTES 07:00-09:00; MIÉRCOLES 07:00-09:00; JUEVES 07:00-09:00; VIERNES 07:00-09:00; SÁBADO 07:00-09:00,401-203 (401 - Julio Garavito Armero); 454-206 (454 - Luis Carlos Sarmiento Angulo)
2026057,Intensive english I - Internationalization,2542 INGENIERÍA CIVIL,ELECTIVA DE PREGRADO,4,(2) Grupo 2,CLASE TEORICA,Diego Andres Rincón Beltrán,0,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 18:00-20:00; MARTES 18:00-20:00; MIÉRCOLES 18:00-20:00; JUEVES 18:00-20:00; SÁBADO 07:00-11:00,453-313 (453 - Guillermina Uribe Bone); 453-315 (453 - Guillermina Uribe Bone); 401-101 (401 - Julio Garavito Armero); 453-303 (453 - Guillermina Uribe Bone); 471-507 (471 - José Félix Patiño Restrepo)
2018965,Proyecto de Tesis de Maestría,2542 INGENIERÍA CIVIL,ACTIVIDADES ACADÉMICAS,10,(1) Grupo 1,,Jose Robel Arenas Salazar; Benjamin Calvo Mozo; Giovanni Alejandro Pinzon Estrada,15,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 18:00-20:00,413-116 (413 - Belisario Ruiz Wilches)
2018966,Seminario de investigación I,2542 INGENIERÍA CIVIL,ACTIVIDADES ACADÉMICAS,3,(1) Grupo 1,,Jose Gregorio Portilla Barbosa; Benjamin Calvo Mozo,20,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 18:00-20:00; JUEVES 18:00-20:00,413-116 (413 - Belisario Ruiz Wilches)
2018967,Seminario de investigación II,2542 INGENIERÍA CIVIL,ACTIVIDADES ACADÉMICAS,3,(1) Grupo 1,,Leonardo Castañeda Colorado; Mario Armando Higuera Garzon,15,DIURNO,Semestral,27/08/2026 - 12/12/2026,MARTES 18:00-20:00; JUEVES 18:00-20:00,413-117 (413 - Belisario Ruiz Wilches)
2018968,Seminario de investigación III,2542 INGENIERÍA CIVIL,ACTIVIDADES ACADÉMICAS,3,(1) Grupo 1,CLASE TEORICA,SANTIAGO VARGAS DOMINGUEZ; Eduard Alexis Larrañaga Rubio,15,DIURNO,Semestral,27/08/2026 - 12/12/2026,LUNES 18:00-20:00; MIÉRCOLES 18:00-20:00,413-117 (413 - Belisario Ruiz Wilches)
2018969,Tesis de Maestría,2542 INGENIERÍA CIVIL,TESIS-TRAB.FINAL,40,(1) Grupo 1,,Eduard Alexis Larrañaga Rubio,30,DIURNO,Asignaturas semestrales con duración entre 17 y 20 semanas,27/08/2026 - 12/12/2026,SÁBADO 14:00-16:00,413-116 (413 - Belisario Ruiz Wilches)
