codigo_asignatura,asignatura,planes,tipologia,creditos,grupo,actividad,profesores,cupos_disponibles,jornada,dia,hora_inicio,hora_fin,salon,edificio,tipo_espacio,salon_nombre,fecha
2021140,Astronomía para todos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(3) Grupo 3 - Clase Presencial,,SANTIAGO VARGAS DOMINGUEZ,0,DIURNO,MARTES,16:00,18:00,413-116,413 - Belisario Ruiz Wilches,SALON,SALA DE VIDEOCONFERENCIAS,27/08/2026 - 16/12/2026
2021140,Astronomía para todos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(3) Grupo 3 - Clase Presencial,,SANTIAGO VARGAS DOMINGUEZ,0,DIURNO,SÁBADO,09:00,11:00,413-116,413 - Belisario Ruiz Wilches,SALON,SALA DE VIDEOCONFERENCIAS,27/08/2026 - 16/12/2026
2026533,"Beatles y algo más: música, cultura y sociedad",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial - Sede Bogotá,CLASE TEORICA,Egberto Bermudez Cujar,200,DIURNO,MIÉRCOLES,11:00,13:00,,,,,27/08/2026 - 16/12/2026
2028674,Biofísica para todos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase presencial,CLASE TEORICA,Yuly Edith Sanchez Mendoza,0,DIURNO,,,,,,,,
2021147,Biotecnologia para no biotecnologos,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,2,(1) Grupo 1 - Clase presencial,CLASE TEORICA,Nubia Carmenza Moreno Sarmiento,55,DIURNO,MARTES,14:00,16:00,DE BIOTECNOLOGIA,224-2146,AUDITORIO,AUDITORIO MULTIPLE DE POSGRADO- INST,27/08/2026 - 16/12/2026
2026274,Bogotá musical internacional,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial - Sede Bogotá,CLASE TEORICA,Angela Ines Simbaqueba Gutierrez; GUERASSIM VORONKOV,0,DIURNO,MARTES,17:00,20:00,104-100,104 - Auditorio Leon de Greiff,AUDITORIO,AUDITORIO LEON DE GREFF,24/08/2026 - 17/12/2026
2029655,Caminos de resistencia: Palestina en el contexto actual,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Andrea Carolina Jimenez Martin,201,DIURNO,MIÉRCOLES,14:00,17:00,201-106,201 - Arturo Valencia Zea,AUDITORIO,"AUDITORIO CAMILO TORRES - Facultad de Derecho, Ciencias Políticas y Sociales",27/08/2026 - 16/12/2026
2022287,Cátedra Augusto Ángel Maya,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,1,(1) Grupo 1 - Clase presencial,CLASE TEORÍCA,Liven Fernando Martinez Bernal,76,DIURNO,MIÉRCOLES,11:00,13:00,Genética,426-102,AUDITORIO,AUDITORIO - Espacio restringido por seguridad - solo se utiliza para Ins,27/08/2026 - 16/12/2026
1000129-B,"Cátedra Colombiana: Ciudadanía, integridad y lucha contra la corrupción",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Diego Alexander Garzon Alvarado; EDUARDO ALFONSO RUEDA BARRERA,500,DIURNO,MIÉRCOLES,10:00,13:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
2021770,Cátedra de derecho para estudiantes de otras carreras,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase presencial,,Eulises Torres,30,DIURNO,MARTES,17:00,20:00,610-101,610 - CISU - Centro de Integración de Servicios Universitarios,,AUDITORIO 101,27/08/2026 - 16/12/2026
2027992,Cátedra de gestión y organizaciones,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1,CLASE TEORICA,JUAN CARLOS MONTOYA AGUDELO,150,DIURNO,MARTES,14:00,17:00,PRINCIPAL,310-03,AUDITORIO,AUD,27/08/2026 - 16/12/2026
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(6) Grupo Amazonía,,Fernando José Rodríguez Mesa,15,DIURNO,,,,,,,,
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo Bogotá,,Fernando José Rodríguez Mesa,285,DIURNO,,,,,,,,
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(5) Grupo Caribe,,Fernando José Rodríguez Mesa,15,DIURNO,,,,,,,,
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(2) Grupo Medellín,,Fernando José Rodríguez Mesa,30,DIURNO,,,,,,,,
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(7) Grupo Orinoquía,,Fernando José Rodríguez Mesa,15,DIURNO,,,,,,,,
2027937,Cátedra de Ingeniería Julio Garavito Armero,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(8) Grupo Tumaco,,Fernando José Rodríguez Mesa,15,DIURNO,,,,,,,,
2029911,Cátedra de Sede Gabriel García Márquez Carnaval y Cultura,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial,CLASE TEORICA,Jorge Enrique Londono Pinzón; Jairo Danilo Moreno Hernandez,0,DIURNO,,,,,,,,
2029912,Cátedra de Sede José Celestino Mutis Física: Las grandes ideas que cambiaron el mundo,2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Presencial - Sede Bogotá,CLASE TEORICA,Diego Alejandro Torres Galindo,0,DIURNO,,,,,,,,
1000176-B,"Cátedra Nacional: Pensamiento negro, territorio y autonomía",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,Harold Enrique Tenorio Quiñones,20,DIURNO,JUEVES,14:00,17:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
1000170-B,"Cátedra Nacional: A diez años del acuerdo de paz: realidades, debates y pendientes",2542 INGENIERÍA CIVIL,LIBRE ELECCIÓN,3,(1) Grupo 1 - Clase Remota - Grupo Bogotá,CLASE TEORICA,ALVARO RIVAS GUZMAN,50,DIURNO,JUEVES,16:00,19:00,NAL-1001,Aula Virtual Nacional,,Aula Virtual Asignaturas Nacionales,27/08/2026 - 16/12/2026
