run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,cupos_disponibles,orden_lectura
gh-31764014573-0814T0500,2026-08-14T00:00:28-05:00,2015938,CLASE TEORICA,(1) Grupo 1,Maria Alejandra Caicedo Londoño,25,0
gh-31764014573-0814T0500,2026-08-14T00:00:28-05:00,2015938,CLASE TEORICA,(2) Grupo 2,Maria Alejandra Caicedo Londoño,25,0
gh-31764014573-0814T0500,2026-08-14T00:00:28-05:00,2015938,CLASE TEORICA,(3) Grupo 3,JOSE LUIS DIAZ AREVALO,25,0
gh-31764014573-0814T0500,2026-08-14T00:00:28-05:00,2015938,CLASE TEORICA,(4) Grupo 4,JOSE LUIS DIAZ AREVALO,24,0
gh-31764014573-0814T0500,2026-08-14T00:00:29-05:00,2015939,CLASE TEORICA,(1) Grupo 1,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,25,1
gh-31764014573-0814T0500,2026-08-14T00:00:29-05:00,2015939,CLASE TEORICA,(2) Grupo 2,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,25,1
gh-31764014573-0814T0500,2026-08-14T00:00:29-05:00,2015939,CLASE TEORICA,(3) Grupo 3,Edder Alexander Velandia Duran,25,1
gh-31764014573-0814T0500,2026-08-14T00:00:29-05:00,2015939,CLASE TEORICA,(4) Grupo 4,No informado,25,1
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(1) Grupo 1,Erika Lorena Rosero Alzate; Oscar Andrés Rojas Sepúlveda,0,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(10) Grupo 10,Epifanio Lozano Ayala,14,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(11) Grupo 11,No informado,60,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(12) Grupo 12,No informado,40,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(13) Grupo 13,Mohammed EL AIDI,40,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(15) Grupo 15,Myriam Leonor Campos Florez,60,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(16) Grupo 16,No informado,60,2
gh-31764014573-0814T0500,2026-08-14T00:00:30-05:00,1000003-B,NA,(17) Grupo 17,Martha Cecilia Moreno Penagos,40,2
