run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,cupos_disponibles,orden_lectura
local-20260903T100343,2026-09-03T10:04:24-05:00,2015938,CLASE TEORICA,(1) Grupo 1,Maria Alejandra Caicedo Londoño,1,0
local-20260903T100343,2026-09-03T10:04:24-05:00,2015938,CLASE TEORICA,(2) Grupo 2,Maria Alejandra Caicedo Londoño,0,0
local-20260903T100343,2026-09-03T10:04:24-05:00,2015938,CLASE TEORICA,(3) Grupo 3,JOSE LUIS DIAZ AREVALO,0,0
local-20260903T100343,2026-09-03T10:04:24-05:00,2015938,CLASE TEORICA,(4) Grupo 4,JOSE LUIS DIAZ AREVALO,0,0
local-20260903T100343,2026-09-03T10:04:29-05:00,2015939,CLASE TEORICA,(1) Grupo 1,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,1
local-20260903T100343,2026-09-03T10:04:29-05:00,2015939,CLASE TEORICA,(2) Grupo 2,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,1
local-20260903T100343,2026-09-03T10:04:29-05:00,2015939,CLASE TEORICA,(3) Grupo 3,Edder Alexander Velandia Duran,0,1
local-20260903T100343,2026-09-03T10:04:29-05:00,2015939,CLASE TEORICA,(4) Grupo 4,CARLOS ALBERTO ESPAÑOL MARIÑO,0,1
local-20260903T100343,2026-09-03T10:04:29-05:00,2015939,CLASE TEORICA,(5) Grupo 5,No informado,0,1
local-20260903T100345,2026-09-03T10:04:31-05:00,2029352,CLASE TALLER,(4) Mesa: Bienestar universitario,Andres Sicard Currea,0,1
local-20260903T100345,2026-09-03T10:04:31-05:00,2029352,CLASE TALLER,(1) Mesa: Democracia y autonomía universitaria,Andrea Carolina Jimenez Martin,0,1
local-20260903T100345,2026-09-03T10:04:31-05:00,2029352,CLASE TALLER,(3) Mesa: Política de género,Laura Espinosa Botero,0,1
local-20260903T100345,2026-09-03T10:04:31-05:00,2029352,CLASE TALLER,(6) Mesa: Relación I.E.S - Sociedad,Francisco Javier Toloza Fuentes,0,1
local-20260903T100345,2026-09-03T10:04:31-05:00,2029352,CLASE TALLER,(5) Mesa: Seguridad y derechos humanos,Erika Constanza Sabogal Muñoz,0,1
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(1) Grupo 1,Erika Lorena Rosero Alzate; Oscar Andrés Rojas Sepúlveda,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(10) Grupo 10,Epifanio Lozano Ayala,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(11) Grupo 11,Gustavo Adolfo Nieto Clavijo,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(12) Grupo 12,LENIN DAVID ANGARITA RIVERA,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(13) Grupo 13,Mohammed EL AIDI,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(15) Grupo 15,Myriam Leonor Campos Florez,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(16) Grupo 16,No informado,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(17) Grupo 17,Martha Cecilia Moreno Penagos,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(18) Grupo 18,John Alexander Cruz Morales,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(20) Grupo 20,Natalia Camila Pinzon Cortes,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(21) Grupo 21,Ivon Andrea Dorado Correa,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(22) Grupo 22,David Reyes Gaona,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(3) Grupo 3,JHON ALEJANDRO AYALA OLIVEROS,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(4) Grupo 4,Luis Alejandro Barbosa Torres,0,2
local-20260903T100343,2026-09-03T10:04:33-05:00,1000003-B,NA,(5) Grupo 5,Sherly Paola Alfonso Sanchez,0,2
