run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,cupos_disponibles,orden_lectura
local-20260829T115131,2026-08-29T11:52:05-05:00,2015938,CLASE TEORICA,(1) Grupo 1,Maria Alejandra Caicedo Londoño,0,0
local-20260829T115131,2026-08-29T11:52:05-05:00,2015938,CLASE TEORICA,(2) Grupo 2,Maria Alejandra Caicedo Londoño,0,0
local-20260829T115131,2026-08-29T11:52:05-05:00,2015938,CLASE TEORICA,(3) Grupo 3,JOSE LUIS DIAZ AREVALO,0,0
local-20260829T115131,2026-08-29T11:52:05-05:00,2015938,CLASE TEORICA,(4) Grupo 4,JOSE LUIS DIAZ AREVALO,0,0
local-20260829T115131,2026-08-29T11:52:06-05:00,2015939,CLASE TEORICA,(1) Grupo 1,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,1
local-20260829T115131,2026-08-29T11:52:06-05:00,2015939,CLASE TEORICA,(2) Grupo 2,ALVARO MARTIN GUTIERREZ MALAXECHEBARRIA,0,1
local-20260829T115131,2026-08-29T11:52:06-05:00,2015939,CLASE TEORICA,(3) Grupo 3,Edder Alexander Velandia Duran,1,1
local-20260829T115131,2026-08-29T11:52:06-05:00,2015939,CLASE TEORICA,(4) Grupo 4,CARLOS ALBERTO ESPAÑOL MARIÑO,0,1
local-20260829T115131,2026-08-29T11:52:06-05:00,2015939,CLASE TEORICA,(5) Grupo 5,No informado,0,1
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(1) Grupo 1,Agustin Moreno Canadas,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(10) Grupo 10,Epifanio Lozano Ayala,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(11) Grupo 11,Gustavo Adolfo Nieto Clavijo,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(12) Grupo 12,LENIN DAVID ANGARITA RIVERA,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(13) Grupo 13,Mohammed EL AIDI,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(15) Grupo 15,Myriam Leonor Campos Florez,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(16) Grupo 16,No informado,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(17) Grupo 17,Martha Cecilia Moreno Penagos,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(18) Grupo 18,John Alexander Cruz Morales,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(20) Grupo 20,Natalia Camila Pinzon Cortes,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(21) Grupo 21,Ivon Andrea Dorado Correa,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(22) Grupo 22,David Reyes Gaona,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(3) Grupo 3,JHON ALEJANDRO AYALA OLIVEROS,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(4) Grupo 4,Luis Alejandro Barbosa Torres,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(5) Grupo 5,Sherly Paola Alfonso Sanchez,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(7) Grupo 7,Myriam Leonor Campos Florez,0,2
local-20260829T115131,2026-08-29T11:52:09-05:00,1000003-B,NA,(8) Grupo 8,No informado,8,2
local-20260829T115131,2026-08-29T11:52:11-05:00,2015940,CLASE TEORICA,(1) Grupo 1,Maritzabel Molina Herrera,0,3
local-20260829T115131,2026-08-29T11:52:11-05:00,2015940,CLASE TEORICA,(2) Grupo 2,Gabriel Andres Bernal Granados,0,3
local-20260829T115131,2026-08-29T11:52:11-05:00,2015940,CLASE TEORICA,(3) Grupo 3,YON ALEXANDER BOLAÑOS DIAZ,0,3
local-20260829T115131,2026-08-29T11:52:12-05:00,2015941,CLASE TEORICA,(1) Grupo 1,Patricia Luna Tamayo,0,4
local-20260829T115131,2026-08-29T11:52:12-05:00,2015941,CLASE TEORICA,(2) Grupo 2,Raul Andres Lopera Rodriguez,0,4
local-20260829T115131,2026-08-29T11:52:12-05:00,2015941,CLASE TEORICA,(3) Grupo 3,Carlos Ramiro Vallecilla Bahena,0,4
local-20260829T115131,2026-08-29T11:52:12-05:00,2015941,CLASE TEORICA,(4) Grupo 4,Raul Andres Lopera Rodriguez,0,4
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(10) Grupo 10,Carolina Neira Jimenez,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(11) Grupo 11,Herbert Alonso Dueñas Ruiz,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(12) Grupo 12,Martha Cecilia Moreno Penagos,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(13) Grupo 13,NICOLAS RODRIGUEZ CHACON,1,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(14) Grupo 14,JOSÉ SEBASTIÁN NARANJO SPADAFORA,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(16) Grupo 16,MIGUEL ANGEL COLMENARES HERRERA,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(17) Grupo 17,Hernan Garzon Gutierrez,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(19) Grupo 19,JOSÉ SEBASTIÁN NARANJO SPADAFORA,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(2) Grupo 2,Gustavo Daver Cipagauta Cuitiva,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(20) Grupo 20,Hernan Garzon Gutierrez,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(21) Grupo 21,JHOAN SEBASTIAN TENJO GARCIA,1,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(22) Grupo 22,EDWIN RODRIGO CELIS MONTEALEGRE,22,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(24) Grupo 24,Ricardo Ariel Pastran Ramirez,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(25) Grupo 25,Jeanneth Galeano Penaloza,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(27) Grupo 27,JHOAN SEBASTIAN TENJO GARCIA,19,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(28) Grupo 28,Gabriel Ignacio Padilla Leon,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(29) Grupo 29,DANIEL FELIPE SUÁREZ LEÓN,47,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(30) Grupo 30,Gustavo Daver Cipagauta Cuitiva,36,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(32) Grupo 32,Ibeth Marcela Rubio Perilla,1,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(4) Grupo 4,Myriam Leonor Campos Florez,1,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(5) Grupo 5,RICHARD EDUARDO SANCHEZ MENDEZ,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(7) Grupo 7,Anderson Arley Vera Arboleda,0,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(8) Grupo 8,EDWIN RODRIGO CELIS MONTEALEGRE,24,5
local-20260829T115131,2026-08-29T11:52:15-05:00,1000004-B,NA,(9) Grupo 9,No informado,18,5
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(1) Grupo 1,ANDRÉS ÁLVAREZ RÍOS,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(10) Grupo 10,David Reyes Gaona,5,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(11) Grupo 11,No informado,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(12) Grupo 12,Leonid Lebedev,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(13) Grupo 13,Juan Carlos Hernandez Rincon,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(14) Grupo 14,CÉSAR ORLANDO RINCÓN GUERRERO,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(15) Grupo 15,JHOAN SEBASTIAN TENJO GARCIA,51,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(2) Grupo 2,Camilo Ernesto Medina Gonzalez,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(3) Grupo 3,Cesar Augusto Gomez Sierra,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(4) Grupo 4,Agustin Moreno Canadas,21,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(5) Grupo 5,Mauricio Lopez Hernandez,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(7) Grupo 7,No informado,0,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(8) Grupo 8,Epifanio Lozano Ayala,42,6
local-20260829T115131,2026-08-29T11:52:17-05:00,1000006-B,NA,(9) Grupo 9,Orlando Vanegas Canro,0,6
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(1) Grupo 1,Orlando Vanegas Canro,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(10) Grupo 10,Epifanio Lozano Ayala,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(14) Grupo 14,Mohammed EL AIDI,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(15) Grupo 15,Alina Fedosova,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(16) Grupo 16,Jonhatan Castillo Barajas,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(17) Grupo 17,Hernan Garzon Gutierrez,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(2) Grupo 2,RENE ERLIN CASTILLO,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(20) Grupo 20,Franqui Solis Cardenas Poloche,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(22) Grupo 22,No informado,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(3) Grupo 3,Eduardo Cardenas Gomez,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(4) Grupo 4,Edward Samuel Becerra Rojas,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(6) Grupo 6,DANIEL CAMILO ARANA HERNÁNDEZ,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(7) Grupo 7,Franqui Solis Cardenas Poloche,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(8) Grupo 8,No informado,0,7
local-20260829T115131,2026-08-29T11:52:20-05:00,1000005-B,NA,(9) Grupo 9,No informado,10,7
local-20260829T115131,2026-08-29T11:52:23-05:00,2015943,CLASE TEORICA,(1) Grupo 1,Carlos Orlando Robles Roa,0,9
local-20260829T115131,2026-08-29T11:52:25-05:00,2015944,CLASE TEORICA,(1) Grupo 1,SANTIAGO RAMIREZ ECHEVERRI,0,10
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(10) 2015711-10 Dibujo básico,Ariel Augusto Amaya Avila,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(11) 2015711-11 Dibujo básico,Cesar Augusto Bacca Gonzalez,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(14) 2015711-14 Dibujo básico,Cristian Felipe Morales Suárez,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(16) 2015711-16 Dibujo básico,DAVID FELIPE TORRES ARCE,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(4) 2015711-4 Dibujo básico,Cristian Felipe Morales Suárez,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(5) 2015711-5 Dibujo básico,Sebastian Achury Ortiz,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(7) 2015711-7 Dibujo básico,Cesar Augusto Bacca Gonzalez,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(8) 2015711-8 Dibujo básico,Miguel Angel Baquero Cortes,0,11
local-20260829T115131,2026-08-29T11:52:27-05:00,2015711,NA,(9) 2015711-9 Dibujo básico,EDWIN CAMILO REINA BELTRAN,1,11
local-20260829T115131,2026-08-29T11:52:29-05:00,2015948,CLASE TEORICA,(1) Grupo 1,YON ALEXANDER BOLAÑOS DIAZ,0,12
local-20260829T115131,2026-08-29T11:52:29-05:00,2015948,CLASE TEORICA,(2) Grupo 2,Mauricio Alberto Tapias Camacho,0,12
local-20260829T115131,2026-08-29T11:52:29-05:00,2015948,CLASE TEORICA,(3) Grupo 3,No informado,0,12
local-20260829T115131,2026-08-29T11:52:29-05:00,2015948,CLASE TEORICA,(4) Grupo 4,No informado,0,12
local-20260829T115131,2026-08-29T11:52:42-05:00,2015950,CLASE TEORICA,(1) Grupo 1,Darwin Humberto Mora Villota,0,13
local-20260829T115131,2026-08-29T11:52:42-05:00,2015950,CLASE TEORICA,(2) Grupo 2,No informado,0,13
local-20260829T115131,2026-08-29T11:52:42-05:00,2015950,CLASE TEORICA,(3) Grupo 3,Daniel Ricardo Lozano Monsalve,0,13
local-20260829T115131,2026-08-29T11:52:42-05:00,2015950,CLASE TEORICA,(4) Grupo 4,German Andres Mora Casas,0,13
local-20260829T115131,2026-08-29T11:52:42-05:00,2015950,CLASE TEORICA,(5) Grupo 5,THOMAS FEDERICO ROJAS VALLEJO,0,13
local-20260829T115131,2026-08-29T11:52:45-05:00,2015949,CLASE TEORICA,(1) Grupo 1,Mario Javier Cardozo Chaux,0,14
local-20260829T115131,2026-08-29T11:52:45-05:00,2015949,CLASE TEORICA,(2) Grupo 2,Wilson Ernesto Vargas Vargas,0,14
local-20260829T115131,2026-08-29T11:52:45-05:00,2015949,CLASE TEORICA,(3) Grupo 3,ELKIN DARIO CAÑON BUITRAGO,0,14
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(1) Grupo 1,JHON CRISTIAN MINA LADINO,0,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(11) Grupo 11,Leonid Lebedev,0,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(12) Grupo 12,Gustavo Adolfo Nieto Clavijo,8,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(13) Grupo 13,Omar Duque Gomez,28,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(14) Grupo 14,IVAN FELIPE SALAMANCA MEDINA,28,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(3) Grupo 3,IVAN FELIPE SALAMANCA MEDINA,0,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(4) Grupo 4,CARLOS SNEYDER OTALORA ALDANA,28,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(6) Grupo 6,Alexander Caviedes Castro,0,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(7) Grupo 7,Oscar Guillermo Riaño Castañeda,0,15
local-20260829T115131,2026-08-29T11:52:47-05:00,1000007-B,NA,(9) Grupo 9,Orlando Vanegas Canro,0,15
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(1) Grupo 1,No informado,0,16
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(2) Grupo 2,Juan Manuel Lizarazo Marriaga,0,16
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(3) Grupo 3,Maritzabel Molina Herrera,0,16
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(4) Grupo 4,Carlos Ramiro Vallecilla Bahena,0,16
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(5) Grupo 5,Fernando Lozano Osorno,0,16
local-20260829T115131,2026-08-29T11:52:49-05:00,2026134,CLASE TEORICA,(6) Grupo 6,Jose Dario Moreno Pineda,22,16
local-20260829T115131,2026-08-29T11:52:51-05:00,2015954,CLASE TEORICA,(1) Grupo 1,Erasmo Alfredo Rodriguez Sandoval,0,17
local-20260829T115131,2026-08-29T11:52:51-05:00,2015954,CLASE TEORICA,(2) Grupo 2,Mario Enrique Moreno Castiblanco,0,17
local-20260829T115131,2026-08-29T11:52:51-05:00,2015954,CLASE TEORICA,(3) Grupo 3,Luis Alejandro Morales Marin,0,17
local-20260829T115131,2026-08-29T11:52:53-05:00,2015955,CLASE TEORICA,(1) Grupo 1,Giovanni Andres Cortes Tovar,0,18
local-20260829T115131,2026-08-29T11:52:53-05:00,2015955,CLASE TEORICA,(2) Grupo 2,Angela Barrera Puerto,15,18
