run_id,ts_lectura,codigo,actividad,grupo,profesores_raw,cupos_disponibles,orden_lectura
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,AMBIGUA,(1) Grupo 1,AMBIGUA,21,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(10) Grupo 10,No informado,8,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,AMBIGUA,(2) Grupo 2,AMBIGUA,12,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(4) Grupo 4,Gustavo Adolfo Nieto Clavijo,13,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(5) Grupo 5,Natalia Camila Pinzon Cortes,14,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(6) Grupo 6,Martha Cecilia Moreno Penagos,6,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(7) Grupo 7,Claudio Rodriguez Beltran,13,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(8) Grupo 8,Gabriel Ignacio Padilla Leon,5,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000001-B,CLASE MAGISTRAL,(9) Grupo 9,No informado,1,38
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(1) Grupo 1 - Clase Presencial,Ruth Andrea Cortés Suárez,6,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(10) Grupo 10 - Clase presencial,Karen Johanna Castelblanco Villamil,3,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(2) Grupo 2 - Clase Presencial,Ruth Andrea Cortés Suárez,1,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(3) Grupo 3 - Clase Presencial,Adriana Patricia Díaz Cuevas,1,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(4) Grupo 4 - Clase Presencial,Adriana Patricia Díaz Cuevas,2,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(5) Grupo 5 - Clase Presencial,Andres Felipe Escovar Barreto,1,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(6) Grupo 6 - Clase Presencial,Ruth Andrea Cortés Suárez,8,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(7) Grupo 7 - Clase Presencial,Karen Johanna Castelblanco Villamil,1,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(8) Grupo 8 - Clase Presencial,Adriana Patricia Díaz Cuevas,1,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,CLASE TEORICA,(9) Grupo 9 - Clase Presencial,Carlas Lucia Castilla Lara,18,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000002-B,NA,(BCA_302) Cierre anticipado grupo 6,NA,0,37
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(1) Grupo 1,NA,14,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(10) Grupo 10,No informado,7,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(11) Grupo 11,No informado,8,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(12) Grupo 12,No informado,4,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(13) Grupo 13,No informado,4,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(14) Grupo 14,No informado,14,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(16) Grupo 16,No informado,8,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(17) Grupo 17,Hernan Garzon Gutierrez,3,4
legacy-20260731T04460000,2026-07-30T23:46:00-05:00,1000004-B,NA,(19) Grupo 19,No informado,11,4
